TweetDate,TweetURL,MediaURL,SavedFilename,TweetContent,Replies,Retweets,Likes
2020/02/11 22:58:51,https://twitter.com/rodyoki/status/1227411714460835841,https://pbs.twimg.com/media/EQikcNZWoAE_cEY?format=jpg&name=orig,rodyoki-1227411714460835841-20200211_225851-img1.jpg,anotha sonic wip. imma gonna leave this here in case I screw up with them colors later https://t.co/jNQgY9KBLN,,3,14,
2020/02/05 17:02:55,https://twitter.com/rodyoki/status/1225147811810947078,https://pbs.twimg.com/media/EQCZaSEW4AgwDi8?format=jpg&name=orig,rodyoki-1225147811810947078-20200205_170255-img1.jpg,Reflection. I`ll be done with the abstract crap and back with them epic fanarts soon. digitalart https://t.co/0XXDlaC7fq,3,3,18,
2020/01/28 21:01:08,https://twitter.com/rodyoki/status/1222308659860066306,https://pbs.twimg.com/media/EPaDPR_WsAEucLv?format=jpg&name=orig,rodyoki-1222308659860066306-20200128_210108-img1.jpg,tryin` different stuff digitalart https://t.co/ibtETTt1if,,,18,
2020/01/26 18:49:36,https://twitter.com/rodyoki/status/1221550782283243521,https://pbs.twimg.com/media/EPPR8JkXkAAfWL9?format=jpg&name=orig,rodyoki-1221550782283243521-20200126_184936-img1.jpg,"wip of some sort, I don`t know really. I`m not planning on finishing it https://t.co/NhIycep3TE",1,2,13,
2020/01/23 20:04:51,https://twitter.com/rodyoki/status/1220482557978071040,https://pbs.twimg.com/media/EPAGaHZX0AEkvAM?format=jpg&name=orig,rodyoki-1220482557978071040-20200123_200451-img1.jpg,foto original de @CantRomanica. digitalart https://t.co/s4OOt5GqEb,,2,14,
2020/01/19 16:18:03,https://twitter.com/rodyoki/status/1218975928467980288,https://pbs.twimg.com/media/EOqsIrsWAAIah_L?format=jpg&name=orig,rodyoki-1218975928467980288-20200119_161803-img1.jpg,just some squigly Skullgirls digitalart https://t.co/4Ek21cjNeS,2,28,91,
2020/01/19 16:18:03,https://twitter.com/rodyoki/status/1218975928467980288,https://pbs.twimg.com/media/EOqsIrzXkAAe-UJ?format=jpg&name=orig,rodyoki-1218975928467980288-20200119_161803-img2.jpg,just some squigly Skullgirls digitalart https://t.co/4Ek21cjNeS,2,28,91,
2020/01/14 22:56:16,https://twitter.com/rodyoki/status/1217264205436522496,https://pbs.twimg.com/media/EOSXVGwWoAA-FjG?format=jpg&name=orig,rodyoki-1217264205436522496-20200114_225616-img1.jpg,"Darth Maul wip. I screwed up by making the base colors and the shading in the same layer, that way I can`t make his facial tatoos interact with the existing shading. I`ll find a way to complete it eventually. StarWars digitalart https://t.co/DO4cJIguw5",1,6,26,
2020/01/13 00:40:42,https://twitter.com/rodyoki/status/1216565709981061120,https://pbs.twimg.com/media/EOIcDd4XkAEy9R6?format=jpg&name=orig,rodyoki-1216565709981061120-20200113_004042-img1.jpg,"yup, coming back strong https://t.co/2BdyRcfKrr",3,4,20,
2020/01/08 18:42:49,https://twitter.com/rodyoki/status/1215026091783606276,https://pbs.twimg.com/media/ENyjxqbWwAYPs_a?format=jpg&name=orig,rodyoki-1215026091783606276-20200108_184249-img1.jpg,se me olvidó publicar este otro. digitalart https://t.co/3Bq8EwgeEb,1,,18,
2020/01/03 18:45:37,https://twitter.com/rodyoki/status/1213214857039929344,https://pbs.twimg.com/media/ENY0eqUU0AM3ncK?format=png&name=orig,rodyoki-1213214857039929344-20200103_184537-img1.png,@alien_argento no se preocupen que ya lo terminé https://t.co/XQhssI0h6x,1,,5,
2020/01/03 14:26:48,https://twitter.com/rodyoki/status/1213149726545080322,https://pbs.twimg.com/media/ENX5O6YWkAAidIN?format=jpg&name=orig,rodyoki-1213149726545080322-20200103_142648-img1.jpg,"había hecho esto para un concurso, no es lo mejor que he hecho pero igual tuvo muy buena recepción. tf2 digitalartwork https://t.co/psanS2GsKH",1,6,40,
2020/01/02 15:22:37,https://twitter.com/rodyoki/status/1212801383335903233,https://pbs.twimg.com/media/ENS8a-dWoAUtR38?format=jpg&name=orig,rodyoki-1212801383335903233-20200102_152237-img1.jpg,gentle stare digitalart https://t.co/PgqwdTDH1o,1,3,20,
